Team1_Team2,Team1_FG_Scored,Team1_FG_Attempted,Team1_FG_Percent,Team2_FG_Scored,Team2_FG_Attempted,Team2_FG_Percent,Team1_2P_Scored,Team1_2P_Attempted,Team1_2P_Percent,Team2_2P_Scored,Team2_2P_Attempted,Team2_2P_Percent,Team1_3P_Scored,Team1_3P_Attempted,Team1_3P_Percent,Team2_3P_Scored,Team2_3P_Attempted,Team2_3P_Percent,Team1_eFG%,Team2_eFG%,Team1_FT_Scored,Team1_FT_Attempted,Team1_FT_Percent,Team2_FT_Scored,Team2_FT_Attempted,Team2_FT_Percent,Team1_ORB,Team2_ORB,Team1_DRB,Team2_DRB,Team1_AST,Team2_AST,Team1_STL,Team2_STL,Team1_BLK,Team2_BLK,Team1_TOV,Team2_TOV,Team1_PF,Team2_PF,Team1_PTS,Team2_PTS,Location,Year,Team 1 Home or Away,Team 2 Home or Away
NotreDame_FloridaState,30,69,43.5,28,68,41.2,25,50,50,16,39,41,5,19,26.3,12,29,41.4,47.1,50,5,95,5.6,6,87,5,12,12,26,30,10,16,3,7,0,8,8,9,10,10,0,0,Donald L. Tucker Center,2022,away,away
Pittsburgh_NotreDame,23,64,35.9,27,48,56.2,20,38,52.6,13,24,54.2,3,26,11.5,14,24,58.3,38.3,70.8,5,77,1.4,10,14,71.4,9,4,18,31,10,21,6,2,3,2,5,13,16,9,0,0,Purcell Pavilion,2022,away,away
VirginiaTech_NotreDame,31,54,57.4,27,51,52.9,24,35,68.6,20,32,62.5,7,19,36.8,7,19,36.8,63.9,59.8,18,24,75,19,22,86.4,5,5,20,22,11,15,8,3,3,1,6,12,18,17,0,0,Barclays Center,2022,away,away
NotreDame_Rutgers,37,72,51.4,36,71,50.7,31,53,58.5,25,44,56.8,6,19,31.6,11,27,40.7,55.6,58.5,9,16,56.2,4,66,6.7,9,13,23,31,17,22,6,1,2,6,5,13,8,15,0,0,University of Dayton Arena,2022,away,away
NotreDame_Alabama,29,54,53.7,26,64,40.6,19,38,50,18,40,45,10,16,62.5,8,24,33.3,63,46.9,10,11,90.9,4,75,7.1,5,10,27,18,13,16,10,9,1,4,18,14,13,14,78,64,Viejas Arena,2022,away,away
NotreDame_TexasTech,17,52,32.7,21,59,35.6,8,24,33.3,17,44,38.6,9,28,32.1,4,15,26.7,41.3,39,10,15,66.7,13,17,76.5,8,12,28,30,8,10,3,8,2,4,11,8,13,16,53,59,Viejas Arena,2022,away,away
TheCitadel_Pittsburgh,29,63,46,23,60,38.3,16,27,59.3,21,43,48.8,13,36,36.1,2,17,11.8,56.3,40,7,11,63.6,15,31,48.4,9,16,30,27,18,14,5,6,2,2,10,8,23,16,78,63,Petersen Events Center,2022,away,home
Pittsburgh_WestVirginia,23,40,57.5,30,59,50.8,20,34,58.8,21,37,56.8,3,65,0,9,22,40.9,61.3,58.5,10,17,58.8,5,11,45.5,12,9,24,11,15,15,7,17,4,11,32,14,17,17,59,74,WVU Coliseum,2022,away,home
UNCW_Pittsburgh,17,59,28.8,21,49,42.9,11,36,30.6,20,45,44.4,6,23,26.1,1,42,5,33.9,43.9,11,17,64.7,16,29,55.2,12,15,21,32,8,8,9,6,3,4,10,17,24,14,51,59,Petersen Events Center,2022,-1,-1
Towson_Pittsburgh,21,58,36.2,21,47,44.7,14,31,45.2,16,29,55.2,7,27,25.9,5,18,27.8,42.2,50,10,18,55.6,16,26,61.5,13,8,23,28,14,16,7,3,2,5,8,11,21,16,59,63,Petersen Events Center,2022,away,home
Vanderbilt_Pittsburgh,25,52,48.1,18,50,36,15,27,55.6,16,35,45.7,10,25,40,2,15,13.3,57.7,38,8,11,72.7,14,19,73.7,6,9,24,21,13,9,8,5,2,3,10,13,15,11,68,52,Petersen Events Center,2022,away,home
UMBC_Pittsburgh,25,52,48.1,25,54,46.3,11,21,52.4,14,28,50,14,31,45.2,11,26,42.3,61.5,56.5,23,27,85.2,16,22,72.7,3,8,23,26,20,15,6,3,0,1,8,14,18,20,87,77,Petersen Events Center,2022,away,home
Minnesota_Pittsburgh,22,59,37.3,20,52,38.5,15,40,37.5,17,37,45.9,7,19,36.8,3,15,20,43.2,41.3,3,56,0,10,15,66.7,9,10,24,30,11,13,2,4,1,3,7,12,16,11,54,53,Petersen Events Center,2022,away,home
Pittsburgh_Virginia,18,46,39.1,24,52,46.2,10,30,33.3,20,31,64.5,8,16,50,4,21,19,47.8,50,12,16,75,5,77,1.4,10,9,20,18,9,18,2,4,3,4,10,6,12,13,56,57,John Paul Jones Arena,2022,away,home
Colgate_Pittsburgh,22,53,41.5,24,55,43.6,16,30,53.3,20,40,50,6,23,26.1,4,15,26.7,47.2,47.3,18,23,78.3,19,27,70.4,10,12,18,23,13,10,5,5,1,8,12,11,21,20,68,71,Petersen Events Center,2022,away,home
Monmouth_Pittsburgh,21,53,39.6,17,50,34,15,28,53.6,15,37,40.5,6,25,24,2,13,15.4,45.3,36,8,12,66.7,16,23,69.6,8,12,23,26,9,6,6,6,3,2,13,15,16,15,56,52,Petersen Events Center,2022,away,home
Pittsburgh_SaintJohn's,16,50,32,22,63,34.9,12,38,31.6,16,45,35.6,4,12,33.3,6,18,33.3,36,39.7,23,28,82.1,7,14,50,13,15,25,22,8,15,2,11,6,9,18,14,16,20,59,57,Madison Square Garden,2022,-1,-1
Jacksonville_Pittsburgh,20,55,36.4,20,53,37.7,12,36,33.3,11,26,42.3,8,19,42.1,9,27,33.3,43.6,46.2,7,13,53.8,15,24,62.5,11,10,24,27,12,13,3,7,1,8,12,6,15,9,55,64,Petersen Events Center,2022,away,home
Pittsburgh_Syracuse,18,47,38.3,25,49,51,11,25,44,19,32,59.4,7,22,31.8,6,17,35.3,45.7,57.1,18,26,69.2,21,31,67.7,12,12,17,18,10,13,5,11,0,5,13,9,19,20,61,77,Carrier Dome,2022,away,away
Virginia_Pittsburgh,27,54,50,21,42,50,23,37,62.2,20,36,55.6,4,17,23.5,1,61,6.7,53.7,51.2,8,12,66.7,18,22,81.8,11,9,14,20,19,8,3,3,4,3,9,15,19,17,66,61,Petersen Events Center,2022,away,home
Syracuse_Pittsburgh,19,63,30.2,20,58,34.5,13,32,40.6,13,32,40.6,6,31,19.4,7,26,26.9,34.9,40.5,9,16,56.2,17,20,85,14,13,25,32,9,15,4,5,3,7,10,13,15,12,53,64,Petersen Events Center,2022,away,home
Pittsburgh_WakeForest,29,60,48.3,28,51,54.9,22,44,50,13,22,59.1,7,16,43.8,15,29,51.7,54.2,69.6,10,15,66.7,20,26,76.9,11,8,20,23,13,20,12,5,2,2,13,13,22,16,75,91,Lawrence Joel Veterans Memorial Coliseum,2022,away,home
VirginiaTech_Pittsburgh,26,45,57.8,25,44,56.8,12,19,63.2,16,26,61.5,14,26,53.8,9,18,50,73.3,67,10,16,62.5,12,14,85.7,7,2,19,16,15,11,12,11,1,1,16,15,13,14,76,71,Petersen Events Center,2022,away,home
Pittsburgh_VirginiaTech,15,40,37.5,29,55,52.7,5,20,25,16,28,57.1,10,20,50,13,27,48.1,50,64.5,7,97,7.8,3,65,0,1,10,18,26,11,20,3,6,6,1,11,9,14,12,47,74,Cassell Coliseum,2022,away,home
Pittsburgh_FloridaState,18,54,33.3,16,56,28.6,10,29,34.5,9,32,28.1,8,25,32,7,24,29.2,40.7,34.8,12,24,50,12,18,66.7,12,10,29,31,9,11,2,5,9,4,11,13,16,23,56,51,Donald L. Tucker Center,2022,away,away
NorthCarolinaState_Pittsburgh,23,58,39.7,22,55,40,14,34,41.2,18,41,43.9,9,24,37.5,4,14,28.6,47.4,43.6,14,16,87.5,23,25,92,7,15,18,30,11,12,5,3,5,5,9,14,18,15,69,71,Petersen Events Center,2022,-1,-1
Pittsburgh_NorthCarolina,24,47,51.1,24,58,41.4,14,30,46.7,17,32,53.1,10,17,58.8,7,26,26.9,61.7,47.4,18,20,90,12,16,75,5,11,23,18,12,13,5,11,4,6,18,13,16,18,76,67,Dean E. Smith Center,2022,-1,-1
Miami(FL)_Pittsburgh,32,58,55.2,25,52,48.1,23,38,60.5,20,35,57.1,9,20,45,5,17,29.4,62.9,52.9,12,16,75,9,17,52.9,6,10,24,23,15,10,12,9,2,4,12,20,17,13,85,64,Petersen Events Center,2022,away,home
Lafayette_Syracuse,23,67,34.3,37,68,54.4,11,26,42.3,24,42,57.1,12,41,29.3,13,26,50,43.3,64,5,68,3.3,10,13,76.9,8,11,22,37,16,26,4,7,2,5,10,9,14,10,63,97,Carrier Dome,2022,away,away
Drexel_Syracuse,22,52,42.3,30,54,55.6,12,25,48,22,38,57.9,10,27,37,8,16,50,51.9,63,6,61,0,7,10,70,9,5,21,21,12,17,4,15,1,5,20,11,8,12,60,75,Carrier Dome,2022,away,away
Colgate_Syracuse,32,70,45.7,28,64,43.8,14,27,51.9,21,41,51.2,18,43,41.9,7,23,30.4,58.6,49.2,18,21,85.7,22,25,88,19,12,25,22,26,13,7,9,4,3,11,10,18,17,100,85,Carrier Dome,2022,away,away
VCU_Syracuse,24,57,42.1,18,62,29,17,39,43.6,13,39,33.3,7,18,38.9,5,23,21.7,48.2,33.1,12,17,70.6,14,16,87.5,8,15,30,28,19,8,10,7,8,5,14,16,13,15,67,55,Imperial Arena,2022,-1,-1
ArizonaState_Syracuse,31,69,44.9,33,61,54.1,16,30,53.3,25,42,59.5,15,39,38.5,8,19,42.1,55.8,60.7,7,15,46.7,18,27,66.7,12,12,20,30,22,14,7,4,2,2,8,11,25,13,84,92,Imperial Arena,2022,away,away
Syracuse_Auburn,20,48,41.7,34,67,50.7,13,29,44.8,22,37,59.5,7,19,36.8,12,30,40,49,59.7,21,26,80.8,9,13,69.2,5,11,23,27,13,23,5,11,1,5,15,7,10,20,68,89,Imperial Arena,2022,away,away
Indiana_Syracuse,38,69,55.1,36,73,49.3,27,42,64.3,23,39,59,11,27,40.7,13,34,38.2,63,58.2,23,31,74.2,27,34,79.4,14,8,32,23,26,16,6,18,3,4,26,12,24,24,110,112,Carrier Dome,2022,away,away
Villanova_Syracuse,25,77,32.5,20,56,35.7,12,27,44.4,15,41,36.6,13,50,26,5,15,33.3,40.9,40.2,4,66,6.7,8,15,53.3,27,11,30,25,15,4,5,4,3,7,10,11,13,12,67,53,Madison Square Garden,2022,away,away
Syracuse_Georgetown,30,68,44.1,25,55,45.5,22,42,52.4,14,29,48.3,8,26,30.8,11,26,42.3,50,55.5,7,11,63.6,18,21,85.7,9,8,22,30,20,20,5,4,4,3,7,11,15,11,75,79,Capital One Arena,2022,-1,-1
Brown_Syracuse,23,67,34.3,35,61,57.4,14,36,38.9,22,40,55,9,31,29,13,21,61.9,41,68,7,10,70,10,20,50,14,10,21,32,16,23,9,9,2,5,14,12,17,8,62,93,Carrier Dome,2022,away,away
Cornell_Syracuse,23,65,35.4,32,57,56.1,8,19,42.1,26,37,70.3,15,46,32.6,6,20,30,46.9,61.4,7,88,7.5,10,15,66.7,18,9,19,25,21,14,7,13,1,5,22,16,15,13,68,80,Carrier Dome,2022,away,away
Virginia_Syracuse,30,57,52.6,22,60,36.7,23,37,62.2,12,30,40,7,20,35,10,30,33.3,58.8,45,7,10,70,15,23,65.2,9,18,24,19,22,14,8,8,5,6,9,11,17,12,74,69,Carrier Dome,2022,away,away
Syracuse_Miami(FL),29,59,49.2,29,65,44.6,12,27,44.4,18,35,51.4,17,32,53.1,11,30,36.7,63.6,53.1,12,18,66.7,19,24,79.2,13,13,24,21,21,16,5,14,8,2,19,10,19,13,87,88,Watsco Center,2022,away,home
Syracuse_WakeForest,27,75,36,25,58,43.1,19,46,41.3,14,21,66.7,8,29,27.6,11,37,29.7,41.3,52.6,12,14,85.7,16,25,64,15,7,34,35,16,19,6,4,1,6,9,13,21,11,74,77,Lawrence Joel Veterans Memorial Coliseum,2022,away,home
FloridaState_Syracuse,28,51,54.9,24,51,47.1,16,31,51.6,17,34,50,12,20,60,7,17,41.2,66.7,53.9,8,13,61.5,16,19,84.2,5,8,20,21,21,14,7,2,2,3,10,12,15,14,76,71,Carrier Dome,2022,away,away
WakeForest_Syracuse,27,56,48.2,36,63,57.1,16,29,55.2,26,44,59.1,11,27,40.7,10,19,52.6,58,65.1,7,10,70,12,17,70.6,12,11,19,19,16,18,4,10,2,1,17,5,17,15,72,94,Carrier Dome,2022,away,away
Syracuse_NorthCarolinaState,32,54,59.3,29,67,43.3,21,35,60,13,28,46.4,11,19,57.9,16,39,41,69.4,55.2,14,18,77.8,8,81,0,6,11,27,19,16,20,3,8,4,2,11,7,14,15,89,82,PNC Arena,2022,-1,-1
Syracuse_VirginiaTech,24,64,37.5,23,60,38.3,14,37,37.8,15,33,45.5,10,27,37,8,27,29.6,45.3,45,1,42,5,17,21,81,10,9,31,32,9,20,2,6,3,5,11,4,18,9,59,71,Cassell Coliseum,2022,away,home
Syracuse_NorthCarolina,31,63,49.2,29,71,40.8,21,38,55.3,15,35,42.9,10,25,40,14,36,38.9,57.1,50.7,7,88,7.5,16,20,80,5,16,25,28,9,21,4,3,2,3,11,8,15,9,79,88,Dean E. Smith Center,2022,-1,-1
