teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS,SOS,NET
Hartford,24,23.4167,23.9167,54.375,57.2917,43.2667,42.2,15.9583,17.125,31.2917,33.875,50.9,50.7,7.4583,6.7917,23.0833,23.4167,32.5417,29.8083,50.2,48.1458,11.125,9.2917,22.4167,37.125,65.1125,45.7417,8.0833,10.2083,25.1667,24.7917,11,11.5833,6.9167,5.75,2.25,3.4583,13.125,13.4167,16.0833,16.1667,65.4167,63.9167,231,282
Hawaii,21,25.4286,25.7619,57.5238,58.0952,44.2333,44.5762,17.619,20,35.8095,40.4762,49.2571,49.7048,7.8095,5.7619,21.7143,21.619,35.9857,29.8571,51.0143,49.4667,12.9048,11.8571,28.4762,31.4286,62.681,59.0143,10.3333,8.2857,25.4762,23.8095,11.7143,10.4762,5.6667,7.0952,1.5238,2.7619,13.8571,12.0952,16.6667,18.2381,71.5714,69.1429,234,172
HighPoint,24,23.5,24.25,56.5417,54.625,41.7542,44.4333,18.7083,15.5417,40.0417,30.0417,47.0958,52.5125,4.7917,8.7083,16.5,24.5833,28.7333,35.1417,46.1083,52.375,14.875,12.6667,24.125,24.9583,66.025,63.0417,11.625,9.375,23.8333,24.6667,12.1667,14.125,6.5833,6.2917,3.75,4.25,12.625,13.625,17.8333,19.25,66.6667,69.875,251,258
Hofstra,23,25.8696,26.8696,58.3478,60.1304,44.613,44.9609,18.3043,19.1304,35.3913,37.2174,52.513,51.5391,7.5652,7.7391,22.9565,22.913,32.6652,33.5391,51.2,51.4087,13.7826,11.5217,22.5217,32.9565,67.9174,55.8217,10.4783,10.1739,25,25.3043,12.7391,16.2174,6.6087,5.913,2.9565,3.1304,12.087,12.0435,16,18.2609,73.087,73,185,112
HolyCross,16,26.4375,27.25,59.4375,58.375,44.9625,46.9375,19.5,20.375,39.9375,39.125,49.6562,52.2375,6.9375,6.875,19.5,19.25,35.5938,36.0813,50.9438,52.8437,10.8125,14.6875,16.9375,20.5625,64.7812,71.0125,9.375,10.6875,23.1875,26.125,11.875,12.9375,6.75,7,3.8125,3.1875,12.875,13,19.0625,15.875,70.625,76.0625,103,343
Houston,32,26.6875,19.4062,61.2812,51.3125,43.2125,37.975,17.5938,13.75,35.5625,31.7812,49.1656,43.2719,9.0938,5.6562,25.7188,19.5312,34.6906,28.7812,50.5563,43.4656,13.5938,13.75,28.9688,20.7812,61.6656,66.8719,14.4688,9.8438,26.0312,21.7188,13.9375,10.4062,7.9688,4.9375,4.6562,2.5,10.6562,14.125,17.9688,17.5,76.0625,58.2188,133,2
HoustonBaptist,25,25.4,29.6,59.4,62.92,42.812,47.028,17.32,21.28,35.88,38.72,48.716,54.696,8.08,8.32,23.52,24.2,34.404,33.668,49.584,53.62,12.16,12.76,35.56,17.76,56.248,71.588,9.12,11.24,24.8,26.68,14.16,15.6,7.04,8.96,3.68,3.16,16.72,14.2,16.96,17.84,71.04,80.28,196,338
Howard,5,24.6,31.2,56.6,66.6,43.42,47.18,17,21.4,32,39.2,51.92,53.94,7.6,9.8,24.6,27.4,28.4,38.12,50,54.68,15.8,12.6,22,20.2,68.98,64.44,8.2,12,27.2,27.6,14.8,19.6,5.2,8.2,5,3,14.4,8.8,17.8,19.4,72.6,84.8,224,241
Idaho,22,22.2273,26.7273,51.5,56.5455,43.3,47.3273,16.6818,18.8182,35.2273,35.7727,47.3409,52.2909,5.5455,7.9091,16.2727,24.5,33.55,36.2864,48.7227,54.2682,11.0455,15.0909,30.9091,24.0909,58.3273,72.55,6.9091,9.6818,22.9545,24.5455,12.0909,13,4.9545,8.9091,1.9545,3.0455,16.3636,11.6818,18.9091,16.7273,61.0455,76.4545,259,325
IdahoState,22,22.6818,22.0909,52.3636,54,43.2,41.0727,16.0455,16.4545,31.7727,37.2273,50.55,44.4955,6.6364,5.6364,24.4091,20.5,30.8318,32.9864,49.5318,46.2909,14.5455,12.6364,24.5455,23.6364,67.1182,63.3227,10.2727,8.7273,25.3636,21.5909,10.8636,9.9091,4.4545,7.2727,3.2273,1.9091,15.0909,12.3636,18.9091,20.5909,66.5455,62.4545,302,342
