teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
NonDivI-BridgewaterCollege(VA),1,19.0,33.0,58.0,59.0,32.8,55.9,9.0,28.0,24.0,39.0,37.5,71.8,10.0,5.0,34.0,20.0,29.4,25.0,41.4,60.2,8.0,8.0,15.0,16.0,53.3,50.0,9.0,8.0,13.0,34.0,13.0,10.0,4.0,6.0,0.0,6.0,12.0,16.0,14.0,18.0,56.0,79.0
NonDivI-PennSt.Wilkes-Barre,1,16.0,44.0,57.0,68.0,28.1,64.7,8.0,36.0,31.0,52.0,25.8,69.2,8.0,8.0,26.0,16.0,30.8,50.0,35.1,70.6,15.0,15.0,19.0,19.0,78.9,78.9,7.0,11.0,14.0,33.0,6.0,23.0,6.0,15.0,2.0,7.0,22.0,15.0,17.0,20.0,55.0,111.0
NonDivI-UVIBucs,1,10.0,39.0,45.0,77.0,22.2,50.6,8.0,26.0,35.0,40.0,22.9,65.0,2.0,13.0,10.0,37.0,20.0,35.1,24.4,59.1,25.0,8.0,35.0,98.0,71.4,8.9,15.0,14.0,25.0,25.0,5.0,27.0,5.0,12.0,3.0,4.0,27.0,9.0,10.0,30.0,47.0,99.0
NonDivI-Oakwood,2,22.0,40.0,62.5,79.0,34.6,50.55,16.0,25.0,42.0,45.0,38.1,55.35,6.0,15.0,20.5,34.0,27.55,44.45,39.1,60.0,9.0,12.0,38.5,16.0,35.7,70.0,11.0,17.0,24.5,32.0,10.0,24.5,6.0,15.0,4.0,9.5,24.0,12.5,13.5,15.0,59.0,107.0
NonDivI-SoutheasternBaptistCollege,3,17.3333,42.6667,61.0,75.0,28.2333,56.8333,10.0,29.0,35.3333,43.0,27.9667,67.0,7.3333,13.6667,25.6667,32.0,28.4667,40.6333,34.3,65.7333,7.3333,12.3333,12.6667,17.3333,59.5,71.0333,9.3333,13.0,22.6667,36.0,10.6667,27.0,5.3333,12.3333,0.6667,6.3333,23.6667,11.0,14.6667,11.3333,49.3333,111.3333
NonDivI-Greensboro,1,24.0,30.0,58.0,62.0,41.4,48.4,15.0,24.0,27.0,37.0,55.6,64.9,9.0,6.0,31.0,25.0,29.0,24.0,49.1,53.2,12.0,11.0,14.0,20.0,85.7,55.0,10.0,13.0,25.0,24.0,16.0,16.0,10.0,15.0,3.0,2.0,21.0,16.0,16.0,16.0,69.0,77.0
NonDivI-WarrenWilson,3,13.6667,41.3333,51.0,72.6667,26.6,57.2333,10.3333,27.0,33.3333,43.3333,32.8667,61.4333,3.3333,14.3333,17.6667,29.3333,16.3667,49.1333,29.7667,67.0,10.0,12.0,19.6667,18.6667,50.9333,65.1,6.3333,17.6667,15.6667,32.3333,7.6667,23.3333,4.3333,14.3333,3.3333,3.3333,21.3333,8.6667,15.3333,14.0,40.6667,109.0
NonDivI-ApprenticeSchool,1,18.0,38.0,47.0,76.0,38.3,50.0,15.0,29.0,33.0,52.0,45.5,55.8,3.0,9.0,14.0,24.0,21.4,37.5,41.5,55.9,17.0,11.0,28.0,16.0,60.7,68.8,7.0,17.0,24.0,29.0,10.0,21.0,3.0,17.0,6.0,5.0,21.0,9.0,12.0,22.0,56.0,96.0
NonDivI-PresentationCollege,3,22.0,32.3333,53.6667,62.0,41.0333,52.1667,13.3333,20.6667,31.0,35.6667,43.0333,57.4667,8.6667,11.6667,22.6667,26.3333,38.7333,42.9333,49.0667,61.5667,5.6667,13.6667,44.6667,20.0,29.3,69.1,6.0,12.6667,20.6667,27.3333,8.6667,20.0,4.6667,6.0,2.0,3.6667,16.0,8.3333,18.0,11.3333,58.3333,90.0
NonDivI-NorthCentral(MN),2,19.0,38.0,61.5,74.0,30.5,52.05,12.5,18.5,28.5,31.5,42.4,57.9,6.5,19.5,33.0,42.5,19.7,47.75,35.75,65.2,10.5,8.0,13.5,41.5,77.75,36.1,9.5,9.5,28.5,33.5,9.0,26.5,3.5,8.5,0.5,2.0,17.0,6.5,13.0,15.5,55.0,103.5
