teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
Milwaukee,32,23.8125,24.4375,56.4062,60.875,42.3125,40.3719,17.5938,16.0312,36.7812,35.75,48.2312,44.9594,6.2188,8.4062,19.625,25.125,31.4625,33.2031,47.8813,47.3187,10.9375,13.4688,27.0625,23.375,57.7031,68.8125,9.0,11.4688,26.9062,25.4688,11.375,13.0,4.9062,6.6562,3.5938,3.125,13.2188,10.1875,16.9375,14.8125,64.7812,70.75
Tulane,29,25.3103,25.1379,57.2759,60.0345,44.1828,41.8621,17.2414,15.8621,35.1724,32.8276,49.1931,48.4276,8.069,9.2759,22.1034,27.2069,36.6241,33.8276,51.2103,49.6517,14.4483,12.1724,21.931,20.931,72.5966,66.8207,6.8276,12.1034,24.7931,27.069,13.5172,16.4138,7.931,5.1724,3.2759,4.3793,10.5172,14.2759,16.069,16.2069,73.1379,71.7241
WichitaState,28,23.5,23.7143,58.3571,57.1786,40.4286,41.4821,15.9643,17.0714,34.1786,36.1429,46.5429,47.0393,7.5357,6.6429,24.1786,21.0357,30.9964,31.6071,46.9036,47.2964,13.9286,12.2857,19.6786,17.3571,72.8143,71.4571,11.8929,9.9286,25.1429,24.9286,12.0,12.3929,7.5357,6.7143,4.5714,3.7857,12.8571,13.8214,15.9643,16.4643,68.4643,66.3571
Oklahoma,35,25.2857,24.1714,53.1143,55.0571,47.7286,44.3,17.6857,18.1429,31.2,36.0857,56.8886,50.54,7.6,6.0286,21.9143,18.9714,34.5543,32.1629,54.8971,49.8114,10.8857,10.6571,28.0571,23.1429,57.6714,60.3571,7.6286,8.5714,24.1714,22.0571,14.0286,10.6857,7.3714,7.6571,1.8571,2.7143,14.7143,13.6571,15.4857,15.2,69.0571,65.0286
Marist,30,25.4333,24.1,57.9,58.0667,44.1833,41.7,17.9333,16.1667,36.1,34.3,49.9667,47.72,7.5,7.9333,24.6667,23.7667,32.7267,33.75,50.6967,48.5367,10.4,12.0333,35.4667,27.0667,52.3467,64.05,9.1333,9.7333,26.0,25.4,8.9667,13.2,5.8333,5.9667,3.3667,3.2,12.3667,11.3667,15.5667,15.7333,68.7667,68.1667
American,32,24.4062,26.5312,54.2812,56.0625,45.0125,47.4656,19.375,19.875,39.0625,36.875,49.7031,54.0187,5.0312,6.6562,22.2188,24.4375,29.5687,32.275,49.5656,53.4438,9.625,11.2188,25.6562,27.9062,56.7063,60.6656,7.9688,9.2812,22.75,23.875,12.1875,13.4688,6.5312,6.7812,3.0625,3.2188,13.375,11.5,14.9062,14.2188,63.4688,70.9375
William&Mary,32,22.625,27.4375,56.2188,59.5938,40.1781,46.1781,15.875,19.1875,34.2812,34.9688,46.5031,55.25,6.75,8.25,21.9375,24.625,30.8719,34.0781,46.1906,53.1219,11.875,11.25,27.4688,22.3125,60.0531,63.8906,9.9062,9.4062,25.375,26.3125,11.4688,14.3438,6.5938,9.0938,2.9688,4.8125,16.2188,12.75,16.7812,16.3438,63.875,74.375
Georgetown,31,24.8387,27.8065,62.0645,60.5161,40.2161,46.0387,17.1935,18.5161,39.7097,35.3548,43.5645,52.3129,7.6452,9.2903,22.3548,25.1613,33.8548,36.8161,46.4032,53.8032,13.3871,12.129,25.3548,29.6452,67.6226,59.1548,12.7097,10.4516,24.5484,26.6774,11.8065,16.9677,7.1613,6.9032,3.8387,4.5161,13.3548,12.8065,16.2258,15.9677,70.7097,77.0323
WesternCarolina,32,24.5938,27.2188,61.25,61.25,40.2562,44.4281,14.5938,17.3438,29.875,33.625,48.9969,51.9469,10.0,9.875,31.375,27.625,31.9844,35.6375,48.3594,52.5219,11.4688,12.9375,25.2188,19.9062,59.1625,69.5594,11.625,10.0,25.9062,27.5,12.875,14.4062,4.875,6.2812,2.375,3.375,12.4062,10.125,17.0,16.0312,70.6562,77.25
Duquesne,30,24.7333,28.3,61.4,59.4333,40.3967,47.9333,18.5,20.7333,40.9333,40.4333,45.07,51.8433,6.2333,7.5667,20.4667,19.0,31.2967,39.6067,45.5267,54.4267,9.5,9.2333,29.4,47.8333,55.51,41.6333,11.3333,10.4333,22.7333,27.4667,10.0,15.1,6.6333,5.9667,4.3333,4.1,11.4667,12.9,13.9,14.1667,65.2,73.4
Howard,29,26.1724,24.7586,59.5172,58.0,43.769,43.0138,17.7241,18.5172,35.8966,39.1034,48.4759,48.1414,8.4483,6.2414,23.6207,18.8966,35.4586,31.4034,51.0276,48.4897,15.5862,13.8621,22.6897,24.8276,72.2759,64.5724,10.2414,11.8276,24.0345,24.9655,14.2759,11.7931,8.3448,7.1379,3.5517,3.1724,14.7241,17.7931,18.0345,18.1724,76.3793,69.6207
SaintFrancis(PA),30,25.4667,27.3667,60.2667,60.9667,42.28,45.1267,19.5667,19.0333,41.5333,37.6667,47.1,51.4933,5.9,8.3333,24.2667,23.3,29.63,35.7433,47.15,51.9467,11.7667,10.4333,23.3333,24.7667,59.77,60.56,11.9333,11.3667,24.7,26.3,12.8,14.8333,6.5667,6.8667,2.7333,3.5333,12.6,12.9,14.7333,16.5,68.6,73.5
MountSaintMary's,30,25.0,24.1,56.4333,56.2333,44.1467,42.76,19.0667,17.9,39.2,37.5,48.36,47.3667,5.9333,6.2,17.2333,18.7333,34.8167,33.0,49.4567,48.29,10.2,10.8667,24.9,20.0667,58.15,65.6533,10.7667,9.6333,24.2333,23.3333,13.2667,11.0667,5.7,7.0,4.0333,2.7,12.9333,12.3333,15.7333,16.0,66.1333,65.2667
GeorgeMason,30,25.0333,24.0,56.0667,56.7,44.5233,42.5267,15.7,15.7667,29.9333,32.7667,52.1867,48.7033,9.3333,8.2333,26.1333,23.9333,35.55,34.3733,52.8933,49.8167,11.2667,12.3,33.5333,32.7,52.8667,56.8567,8.2,8.2333,26.3333,24.8,14.0333,11.9,5.0333,6.7667,3.1667,2.8,12.2,11.6667,16.0667,17.0667,70.6667,68.5333
BostonUniversity,35,25.5143,24.9714,56.1714,55.3714,45.5571,45.28,18.0,18.7714,34.9429,37.0571,51.5971,51.06,7.5143,6.2,21.2286,19.9429,35.4343,32.8,52.2514,50.8886,12.0286,11.5429,25.4571,26.5143,67.1314,62.8086,10.2857,7.9429,24.5143,22.3143,10.9143,11.8857,5.5714,6.9429,2.3714,3.8,12.1143,11.1143,15.5714,16.5143,70.5714,67.6857
Bucknell,32,25.5625,29.6875,55.9375,63.6875,45.8438,46.8031,17.6562,20.5938,34.9062,39.3438,50.8313,52.9688,7.9062,9.0938,21.0312,24.3438,37.8,37.8656,52.925,53.9687,12.125,10.9375,21.7812,34.9688,67.4938,55.2469,6.9688,10.5938,24.75,24.9688,14.625,15.5,4.5938,8.4688,3.125,2.875,13.4688,9.5312,15.3125,15.25,71.1562,79.4062
Loyola-Maryland,30,24.9,23.6333,56.3,53.5333,44.4367,44.6033,18.0,16.7667,34.6667,33.3,51.7,50.5867,6.9,6.8667,21.6333,22.7333,31.8,33.4,50.63,51.04,9.4333,11.5333,31.7,27.3333,51.8233,60.84,8.3667,8.5,23.7333,24.8667,14.9333,12.9333,7.8667,6.4667,2.6667,2.8,13.0333,14.0333,15.3333,14.5667,66.1333,65.6667
Lafayette,30,25.2333,27.1333,58.3333,58.7667,43.4333,46.3467,16.4667,19.2,31.6,37.3667,52.33,51.1167,8.7667,7.9333,26.7333,23.8667,32.7433,36.5933,50.8667,53.14,8.5667,10.6333,30.8,28.0667,46.0667,57.8667,8.1333,10.3667,23.8,26.8667,16.1667,14.0333,6.2667,5.6333,3.3333,2.4,11.0333,11.5333,14.4,13.7333,67.8,72.8333
Navy,32,24.0625,21.1875,56.0,52.125,42.9969,40.6125,18.3125,14.6562,38.3438,32.2188,48.1375,45.4969,5.75,6.5312,17.6562,19.9062,32.8406,32.3188,48.1406,46.8344,11.0938,11.2188,20.7812,22.4062,61.1188,62.7062,11.9688,8.2812,25.3438,23.1562,12.25,11.9688,7.0625,6.9688,3.3438,3.375,12.875,13.5,15.9688,16.75,64.9688,60.125
Colgate,35,27.5429,25.2286,58.0857,59.3429,47.52,42.4914,17.6286,18.2571,33.6286,38.5143,51.94,47.8086,9.9143,6.9714,24.4571,20.8286,40.5371,32.9914,56.0657,48.3086,10.6,9.6857,36.3429,22.8857,52.4943,56.5486,8.8286,9.1714,27.2857,24.3714,17.0,13.3143,6.1143,6.3429,3.6,2.8286,11.3143,10.8857,14.4857,14.8857,75.6,67.1143
EastTennesseeState,32,26.6562,26.4688,60.0,59.0,44.6281,45.1188,17.875,17.2188,34.9375,31.8125,51.5031,54.925,8.7812,9.25,25.0625,27.1875,35.0156,33.5344,52.0594,53.025,9.9688,10.8125,32.8438,26.5625,51.9125,60.9094,10.9375,10.7188,23.9062,24.0312,13.125,14.5312,6.75,6.0625,2.7812,2.5,11.2812,11.3125,14.8438,14.7188,72.0625,73.0
NonDivI-WilliamPeace,2,17.0,33.5,60.5,60.0,28.1,56.25,7.5,27.0,25.5,44.0,30.4,61.6,9.5,6.5,35.0,16.0,27.7,37.75,35.95,61.4,6.0,18.0,44.0,27.0,32.5,66.5,10.5,13.5,18.5,35.0,11.5,20.5,6.5,9.0,1.0,5.0,16.5,12.0,20.5,10.0,49.5,91.5
Charlotte,31,25.1935,26.129,54.7742,56.7097,45.9419,46.3258,17.6774,18.6774,33.0,36.129,53.4194,51.6032,7.5161,7.4516,21.7742,20.5806,34.5968,36.6226,52.8355,53.071,12.129,11.5161,28.5484,28.0323,64.7613,64.8968,7.0968,8.3226,24.1613,24.1935,13.9677,12.1935,4.8065,5.6129,2.9032,3.0323,11.4839,11.2903,14.0968,14.8387,70.0323,71.2258
Delaware,35,25.9714,25.1143,55.4286,58.4286,47.1371,43.1029,18.5143,17.7429,33.9429,37.5714,55.0571,47.8829,7.4571,7.3714,21.4857,20.8571,34.6314,35.5829,53.8514,49.4686,13.9714,12.5714,24.6,24.8571,66.84,66.1743,8.5714,10.6571,23.9429,22.8857,12.5714,11.4571,6.6571,6.4286,3.6857,2.6857,12.5714,12.6571,15.6571,17.5429,73.3714,70.1714
NonDivI-Boyce,2,16.0,36.0,57.5,70.5,28.35,51.25,11.5,24.0,31.5,35.5,37.1,67.6,4.5,12.0,26.0,35.0,17.7,34.75,32.35,59.85,8.0,6.5,12.5,11.0,63.75,57.5,6.0,12.5,24.5,37.0,7.5,22.5,4.0,9.0,0.5,4.5,12.5,7.5,10.0,9.5,44.5,90.5
Furman,34,27.7941,25.8235,59.9412,57.0882,46.4353,45.5176,16.0,18.8824,28.9412,36.1765,55.5441,52.1029,11.7941,6.9412,31.0,20.9118,37.9882,33.2029,56.2853,51.6529,10.2647,10.1176,31.3235,35.2059,54.6853,49.9912,9.2941,9.1765,23.8235,24.2059,17.3824,13.2353,8.2647,5.8824,3.5,2.8529,10.5,12.9706,14.5882,13.7353,77.6471,68.7059
NonDivI-Erskine,2,16.0,29.5,57.0,61.5,28.05,48.15,13.5,22.0,37.5,35.0,35.7,64.35,2.5,7.5,19.5,26.5,12.3,28.0,30.3,54.25,8.0,17.0,10.0,26.0,80.0,65.2,8.0,13.0,22.0,30.5,5.0,15.5,4.0,9.5,2.5,6.0,20.0,11.0,20.5,12.5,42.5,83.5
Duke,39,29.6923,26.3333,60.4872,63.1026,49.2513,41.8462,21.7949,19.5385,38.8974,41.8974,56.3744,46.7846,7.8974,6.7949,21.5897,21.2051,35.8923,30.7744,55.8154,47.2513,12.7692,8.3077,25.8205,37.4872,65.1692,46.7385,10.5641,11.1538,27.4103,22.7179,16.359,13.2821,6.3846,6.0,5.5385,3.2051,10.2564,10.7436,13.6923,15.7436,80.0513,67.7692
NorthCarolina,39,27.5897,26.8718,61.7692,63.1795,44.8872,42.6923,19.1795,19.1538,38.2821,40.2821,50.4897,47.7513,8.4103,7.7179,23.4872,22.8974,35.8667,34.5641,51.6897,48.8179,14.3077,9.8205,28.1282,41.1538,67.5872,45.0026,11.4615,8.1795,29.7692,24.5128,14.9231,12.7692,5.1538,6.5897,3.8974,3.5641,11.641,9.6667,14.4615,16.5385,77.8974,71.2821
Louisiana,31,24.7097,24.0968,57.7742,58.7097,42.9903,41.1419,17.3548,17.8387,36.5161,39.2903,47.4774,45.5387,7.3548,6.2581,21.2581,21.8387,35.2387,31.9613,49.4065,46.5839,14.2903,14.9355,23.129,20.0968,67.5903,73.6677,11.9355,10.1935,26.871,23.7097,12.3871,12.0968,6.8065,8.2903,4.3548,3.1613,15.3548,13.0968,17.9032,18.6452,71.0645,69.3871
ULM,31,27.0645,26.2903,59.5806,58.5806,45.1742,45.0645,20.0,17.9032,38.6774,35.0,51.3226,51.4774,7.0645,8.3871,20.9032,23.5806,34.6839,36.4,51.1065,52.2194,11.2581,13.3548,28.5484,21.6129,61.6129,66.1032,8.9355,11.4516,23.4516,25.5806,15.0323,15.129,7.1935,7.3548,2.7419,3.871,12.7419,14.129,16.8065,15.5484,72.4516,74.3226
CoastalCarolina,33,26.4242,23.3939,58.7273,60.1212,44.8848,39.1152,18.9697,15.1212,37.7273,32.697,49.9788,46.6576,7.4545,8.2727,21.0,27.4242,35.2121,30.5485,51.2333,46.1424,12.5455,10.2727,27.0,32.0303,62.1061,54.697,12.0909,10.9697,27.8182,23.1212,13.4848,12.8485,6.6667,7.1212,3.6667,2.7879,13.1818,12.2121,14.3333,15.6667,72.8485,65.3333
GeorgiaState,29,24.8966,23.1379,62.2759,55.4828,39.9621,41.7345,17.2759,15.6552,39.1724,35.1034,44.3621,44.7552,7.6207,7.4828,23.1034,20.3793,33.4897,36.1552,46.1655,48.5,13.2414,11.9655,25.7241,24.4828,64.7172,62.0379,13.2759,10.4828,24.1034,25.8966,13.4828,13.0,8.7931,6.2414,4.4828,3.4828,11.6897,16.2414,16.069,16.7931,70.6552,65.7241
GeorgiaSouthern,29,24.6207,22.7931,55.1379,55.6897,44.5,41.1966,18.7586,15.7241,35.8621,34.069,52.3655,46.569,5.8621,7.069,19.2759,21.6207,31.1207,33.4759,49.8448,47.6103,11.3448,12.9655,22.6207,28.069,61.0379,59.8103,9.8276,10.4828,24.8621,24.2759,11.931,11.2759,7.4483,7.5172,3.4483,2.7931,14.3103,13.6552,17.5862,15.5862,66.4483,65.6207
LittleRock,28,23.25,26.5357,55.1429,56.3929,41.8071,47.2107,16.2143,18.2857,34.25,34.1786,47.1464,53.45,7.0357,8.25,20.8929,22.2143,32.8536,36.1,48.2,54.5679,13.1786,11.7857,31.5,23.9286,61.9571,63.1964,8.5714,9.6429,22.8929,25.4286,13.0,15.1429,6.9286,6.2143,2.1429,2.6071,13.8214,14.4286,16.7857,17.1071,66.7143,73.1071
TexasState,29,25.4828,21.931,55.1034,52.069,46.2207,42.3,19.1724,15.1379,38.2414,31.8621,49.9931,48.0621,6.3103,6.7931,19.4138,20.2069,36.8897,32.731,52.0552,48.8172,13.1724,12.5862,21.7241,27.1724,68.2552,61.6172,10.069,9.1724,23.4828,21.6897,12.2069,11.6897,6.4828,5.7586,3.5517,2.8276,12.3103,14.5862,17.069,17.3103,70.4483,63.2414
SouthCarolinaUpstate,32,25.4688,25.1562,56.9688,57.2812,44.8188,44.0531,17.4375,17.4688,34.9688,33.8125,50.0719,51.6406,8.0312,7.6875,22.0,23.4688,36.9656,32.7531,51.9375,50.8281,12.5,15.1562,27.3438,24.0625,63.0906,66.8937,7.6875,10.3438,24.8438,25.7188,13.6875,13.9062,6.3438,6.4062,3.3125,3.375,12.7188,12.6875,19.125,16.2188,71.4688,73.1562
NorthernArizona,32,24.0625,25.9062,57.6562,56.9688,41.6625,45.5969,15.4062,18.5,33.5,36.4375,46.3594,51.4437,8.6562,7.4062,24.1562,23.1562,35.5469,35.15,49.1563,52.0875,10.75,14.125,24.125,22.9375,57.45,67.9125,10.4688,7.7812,26.25,25.9062,12.5938,11.75,4.5,5.9062,2.5,3.0312,13.4688,9.7188,18.3125,16.4062,67.5312,73.3438
Arizona,37,30.1892,25.0811,61.3243,64.8649,49.3432,38.8973,22.4324,17.7027,39.3243,42.3514,57.3459,41.7595,7.7568,7.3784,22.0,22.5135,35.5595,32.1541,55.6784,44.5811,15.8378,10.5135,23.5946,30.8919,71.7297,55.2757,11.5946,11.9189,29.8108,21.8919,19.6216,11.8378,6.7297,6.9459,5.6757,2.8649,13.4324,12.7568,16.7297,18.8649,83.973,68.0541
NorthDakotaState,33,26.2727,25.6061,56.9091,61.0303,46.0606,42.1242,18.6667,19.2424,35.6667,41.1515,51.8303,46.7727,7.6061,6.3636,21.2424,19.8788,35.3152,32.9212,52.8606,47.3576,14.6667,11.1212,21.8788,21.5758,73.9273,64.8727,8.4545,8.3939,28.9394,24.2727,11.1212,9.7273,3.9091,5.4545,3.4545,2.2121,11.6364,9.1515,15.5758,17.6667,74.8182,68.697
Michigan,34,26.8824,25.8824,57.5588,58.6765,47.0,44.3882,20.6176,19.2647,39.0882,38.2059,53.2529,50.3441,6.2647,6.6176,18.4706,20.4706,33.4971,33.0882,52.4706,50.1176,12.6176,11.0294,26.0588,23.4412,63.9441,63.7441,9.9118,8.2647,25.9118,22.2059,14.1471,11.0882,4.7059,5.4412,3.2941,3.2353,11.6471,9.9412,15.2647,15.9706,72.6471,69.4118
SacramentoState,29,24.0,25.1379,55.6897,55.1034,43.0828,45.8,17.2414,18.2069,36.8621,34.9655,46.8138,52.3345,6.7586,6.931,18.8276,20.1379,36.5966,33.6862,49.1724,52.0931,10.6897,12.9655,23.9655,28.3793,61.2862,63.431,7.7586,8.8966,23.3793,26.931,11.0,13.3103,5.9655,5.4483,2.8276,3.1379,11.069,12.1379,17.1724,15.8966,65.4483,70.1724
OregonState,31,25.6452,28.5806,57.9032,59.7097,44.271,48.1387,19.9677,20.0323,40.0968,35.871,49.7161,55.9194,5.6774,8.5484,17.8065,23.8387,31.9226,35.4097,49.2032,55.3226,11.3226,12.4194,23.6452,23.2903,63.629,64.0613,9.0323,11.1935,21.7742,25.4194,12.129,15.0,5.9677,6.7419,3.0323,3.0,12.5484,12.0645,17.5484,16.3226,68.2903,78.129
Illinois,33,26.1515,24.7273,58.3333,59.9091,44.8727,41.3788,17.2121,19.0606,33.4545,42.1515,51.8818,45.4636,8.9394,5.6667,24.8788,17.7576,35.797,31.9788,52.5606,46.1273,13.1818,12.0909,20.697,23.2424,69.397,62.9273,11.4848,9.7879,27.0303,23.2121,15.1818,10.2121,5.1818,6.6061,3.0,2.9091,12.3636,10.6364,16.3636,18.0606,74.4242,67.2121
NorthernColorado,38,27.6053,28.1579,58.1316,61.2895,47.5579,46.1553,17.3684,20.6316,31.2895,40.9737,55.3184,50.4553,10.2368,7.5263,26.8421,20.3158,37.8421,37.0921,56.4237,52.3474,12.5,13.1053,26.7895,26.9211,61.1447,63.6447,7.6842,8.2895,26.5526,25.3421,12.2895,10.9211,4.0,6.1579,2.8421,2.2368,12.3684,9.8684,17.2105,17.5789,77.9474,76.9474
Washington,32,24.875,26.2812,60.2812,59.5,41.5281,44.3125,18.6875,19.5,40.4688,39.25,46.7094,49.6594,6.1875,6.7812,19.8125,20.25,30.3625,33.2562,46.6844,50.0875,14.6875,12.9062,23.1562,21.1875,68.2281,67.5656,11.0,12.375,22.4062,26.5625,10.1875,14.25,8.2812,5.2812,4.125,3.8125,11.9062,15.7188,16.6875,19.3438,70.625,72.25
Colorado,33,24.7576,24.4545,55.9697,58.2121,44.3061,42.0061,17.8788,17.3636,37.1818,36.7576,47.9545,47.5333,6.8788,7.0909,21.2727,21.4545,35.8667,32.7879,50.4636,48.1394,14.6667,11.3939,23.7273,30.5758,70.7455,59.8818,9.9697,8.7576,27.0909,23.3636,13.3636,11.1212,5.4848,6.9697,3.1818,3.6061,13.5455,12.0606,15.6364,18.697,71.0606,67.3939
Stanford,32,24.0625,25.1875,55.625,55.9688,43.2906,45.1,16.7812,18.0312,34.125,34.0938,49.3188,52.9594,7.2812,7.1562,21.5,21.875,33.8313,32.6562,49.9062,51.4875,10.9688,11.1562,25.5625,25.8438,58.8406,58.4937,11.5,7.5312,25.4062,22.5625,13.0938,12.3438,5.5625,7.1875,2.5938,3.6562,14.9688,11.0,17.375,16.5938,66.375,68.6875
California,32,23.5938,23.375,56.2188,55.5625,42.2375,42.1312,18.125,17.3438,38.4375,36.0625,47.625,48.0969,5.4688,6.0312,17.7812,19.5,30.9031,31.0563,47.0844,47.5625,10.3438,13.2812,32.2812,26.375,53.3469,63.3063,8.7812,8.0312,26.3438,25.7188,10.6562,9.875,4.8438,5.8125,2.5938,3.3438,11.2188,9.5938,16.5938,14.3125,63.0,66.0625
ArizonaState,31,25.0,23.1613,60.4194,57.9677,41.571,40.0581,18.0968,15.7742,37.9355,34.1935,47.9194,45.9677,6.9032,7.3871,22.4839,23.7742,30.3742,31.1387,47.2097,46.5097,8.4839,13.5161,35.1613,23.2258,44.8548,67.5323,9.4194,11.3548,26.129,28.4194,13.3548,13.2903,6.6774,6.129,4.2258,3.129,11.9355,13.5161,18.1613,15.1935,65.3871,67.2258
USC,34,26.7647,23.7059,58.8824,60.7647,45.4765,39.2471,20.0,16.7941,39.9412,39.9412,50.1029,42.0912,6.7647,6.9118,18.9412,20.8235,35.6353,33.6206,51.3029,44.9265,12.0882,11.6471,18.2059,29.1765,66.4588,59.3235,11.7647,10.3529,28.3529,23.3235,14.2647,11.8824,5.0,6.5588,4.4412,3.3529,12.1765,9.7941,15.6176,17.2353,72.3824,65.9706
Oregon,35,26.7429,25.3143,59.2857,58.6,45.2771,43.4143,19.6286,18.3429,37.9143,36.9714,52.1971,49.6114,7.1143,6.9714,23.4857,21.6286,32.9886,32.2571,51.3,49.3943,11.7429,12.1143,19.7714,20.9714,66.58,63.8057,10.4286,11.0286,24.6286,24.5143,12.1714,12.6,6.8,5.8,3.4857,2.6857,11.7143,13.2857,16.6,17.2,72.3429,69.7143
TCU,34,25.3529,23.9412,57.7647,56.9706,44.0794,42.1912,19.8235,17.7941,39.4412,37.0882,50.5088,48.0824,5.5294,6.1471,18.3235,23.7941,29.9735,29.1353,48.8765,47.6412,12.2353,10.8824,22.9706,25.8529,64.0235,57.8471,12.9706,9.2059,26.0294,21.4118,13.6471,12.9706,6.4412,7.1471,4.1471,3.3824,14.4706,12.5882,15.5,16.2059,68.4706,64.9118
UCRiverside,28,24.3929,23.75,55.1429,57.0,44.3179,42.0536,17.2143,18.7143,32.7143,40.0,53.0036,47.3321,7.1786,5.0357,22.4286,21.3571,31.8286,28.5393,50.875,46.5143,10.6429,11.1786,30.0,27.3214,56.2071,57.75,7.8929,7.8929,27.6429,24.8214,13.3214,11.4286,5.25,5.4643,1.3214,2.5,12.3214,10.8214,16.0357,15.0357,66.6071,63.7143
NorthFlorida,31,23.3871,26.7742,56.2258,63.3548,41.4097,42.7129,13.8387,20.7097,28.0645,44.3548,49.7742,47.3097,9.5484,6.0645,28.1613,19.0,33.2968,31.9,49.8839,47.6935,12.1935,11.5484,31.0,26.7419,57.8452,57.1129,9.0968,13.871,24.7419,25.6129,12.7097,14.0968,5.5484,8.2581,4.8065,2.871,14.6129,12.0323,15.6774,16.1935,68.5161,71.1613
Syracuse,33,27.7273,26.8788,61.5152,63.1212,45.3364,42.7636,18.6364,16.7273,37.3636,32.3939,49.6424,51.4727,9.0909,10.1515,24.1515,30.7273,38.2121,32.9606,52.7364,50.8091,12.8182,11.1515,20.9697,32.5455,69.1455,54.1697,10.6061,12.1515,25.697,25.6667,14.4848,18.8788,7.0,6.4545,3.7273,3.3333,10.7273,11.6667,14.2424,14.6364,77.3636,75.0606
Loyola-Chicago,33,25.9091,21.9697,54.3636,53.6364,47.7333,40.8879,17.0303,15.6061,30.9394,33.0303,55.3364,46.7788,8.8788,6.3636,23.4242,20.6061,37.5909,30.5394,55.8606,46.8182,12.1212,11.1818,23.0,35.5758,65.7697,54.1939,7.8485,8.0909,25.9697,23.1818,14.9091,9.1818,6.9697,5.7576,2.4242,3.4848,12.2121,13.5152,17.2424,17.0909,72.8182,61.4848
Creighton,35,25.6,25.0857,57.2,63.2571,44.64,39.72,18.8857,18.4286,35.4,42.2286,53.3714,43.6943,6.7143,6.6571,21.8,21.0286,30.6743,31.2171,50.4486,45.02,11.2857,9.5714,20.0857,34.0286,69.5914,53.4371,9.6,11.4,28.5429,24.2571,13.3143,11.3429,5.4857,6.7714,4.2571,3.4857,14.0571,10.6857,13.6286,15.6571,69.2,66.4
SanFrancisco,34,27.7647,24.5294,60.7353,57.5588,45.8765,42.5471,18.1471,19.3824,33.2647,40.0588,55.0235,48.1382,9.6176,5.1471,27.4706,19.9706,34.8088,28.4529,53.8147,47.0353,12.2059,13.5588,26.0,21.6471,61.0088,69.0118,10.8824,8.4118,27.1471,24.6765,12.8235,10.5294,7.6176,6.0882,4.5882,2.8824,12.7059,12.8824,18.0882,17.3529,77.3529,67.7647
Mercer,33,25.0909,25.4242,54.8788,56.9394,45.7576,44.7515,16.9697,17.2424,31.7273,33.2727,53.2667,51.8,8.1212,8.1818,23.1515,23.6667,34.9697,34.2485,53.1939,51.9788,12.1515,11.5152,23.8485,27.9394,68.6636,62.6121,7.8788,8.9091,25.0606,23.2727,14.3333,13.2121,6.1515,7.0303,2.9697,2.6364,12.3636,11.1212,15.2121,15.0,70.4545,70.5455
Gardner-Webb,31,25.2903,21.7097,57.0323,55.7097,44.4355,39.071,17.871,15.1613,34.4839,32.5484,52.2258,46.3548,7.4194,6.5484,22.5484,25.9032,32.4774,27.3548,51.0,44.9516,11.4839,14.1935,22.6774,22.1613,64.1516,70.3,9.7742,9.3548,27.0968,24.6452,13.1935,11.1935,7.2581,6.5484,4.7419,3.0323,13.4194,13.0968,18.2903,16.129,69.4839,64.1613
NorthernIowa,32,25.7188,25.875,56.0312,57.5,45.7625,44.9438,17.0312,16.0312,31.5938,29.5,53.675,54.6687,8.6875,9.8438,24.4375,28.0,35.2906,34.9719,53.425,53.5625,14.3438,9.4375,27.5,31.0,70.1344,51.8906,6.8125,7.25,25.8125,25.2812,11.7812,13.2188,5.75,6.3125,1.4062,2.2812,11.125,12.3438,13.9062,16.375,74.4688,71.0312
Penn,28,26.7143,27.5357,59.9643,60.5357,44.5893,45.7036,18.6429,19.5357,35.8571,37.4643,51.2821,52.4679,8.0714,8.0,24.1071,23.0714,33.5107,34.4607,51.4429,52.3143,10.5357,12.3929,32.25,27.7143,54.7071,61.475,8.8929,9.9643,25.6429,26.1786,12.5357,12.1786,5.5,5.8571,2.2857,3.2143,11.7857,10.6786,17.25,14.6786,72.0357,75.4643
CentralArkansas,31,27.8065,29.7742,63.2258,62.9355,43.7677,47.5452,21.129,21.7742,41.0,39.8065,51.3097,54.5645,6.6774,8.0,22.2258,23.129,29.6516,34.7419,49.0806,53.9806,10.9032,13.5806,20.0323,23.4194,68.6742,67.6484,10.0968,10.6129,25.3548,26.8065,14.3226,15.6774,6.8065,7.6774,3.1935,3.3871,13.6452,12.3871,16.7097,14.2903,73.1935,81.129
